MMSI: 200000000, Ship Type: Tanker
MMSI: 219522000, Ship Type: Military ops
MMSI: 219543000, Ship Type: Cargo ship (HAZ-A)
MMSI: 219551000, Ship Type: Cargo ship
MMSI: 219560000, Ship Type: Passenger ship
MMSI: 219570000, Ship Type: Other type
MMSI: 219573000, Ship Type: Dredging or UW ops
MMSI: 219581000, Ship Type: Cargo ship (HAZ-A)
MMSI: 219592000, Ship Type: Passenger ship
MMSI: 219613000, Ship Type: Other type
MMSI: 219622000, Ship Type: Passenger ship
MMSI: 219670000, Ship Type: SAR
MMSI: 219679000, Ship Type: Tug
MMSI: 219709000, Ship Type: Fishing vessel
MMSI: 219775000, Ship Type: Tanker
MMSI: 219777000, Ship Type: Unknown
MMSI: 219786000, Ship Type: Other type
MMSI: 219787000, Ship Type: Fishing vessel
MMSI: 219793000, Ship Type: Fishing vessel
MMSI: 219796000, Ship Type: Fishing vessel
MMSI: 219798000, Ship Type: Other type
MMSI: 219801000, Ship Type: Fishing vessel
MMSI: 219837000, Ship Type: Fishing vessel
MMSI: 219849000, Ship Type: Tug
MMSI: 219853000, Ship Type: Fishing vessel
MMSI: 219868000, Ship Type: Fishing vessel
MMSI: 219872000, Ship Type: Fishing vessel
MMSI: 219904000, Ship Type: Fishing vessel
MMSI: 219921000, Ship Type: Fishing vessel
MMSI: 219922000, Ship Type: Fishing vessel
MMSI: 219941000, Ship Type: Fishing vessel
MMSI: 219945000, Ship Type: Passenger ship
MMSI: 219948000, Ship Type: Fishing vessel
MMSI: 219959000, Ship Type: Fishing vessel
MMSI: 219965000, Ship Type: Dredging or UW ops
MMSI: 219997000, Ship Type: Other type
MMSI: 220000051, Ship Type: Fishing vessel
MMSI: 220000054, Ship Type: Passenger ship
MMSI: 220012000, Ship Type: Fishing vessel
MMSI: 220024000, Ship Type: Fishing vessel
MMSI: 220043000, Ship Type: Fishing vessel
MMSI: 220046000, Ship Type: Fishing vessel
MMSI: 220068000, Ship Type: Law enforcment
MMSI: 220071000, Ship Type: Fishing vessel
MMSI: 220135000, Ship Type: Fishing vessel
MMSI: 220138000, Ship Type: Fishing vessel
MMSI: 220181000, Ship Type: Other type
MMSI: 220191000, Ship Type: Military ops
MMSI: 220204000, Ship Type: Fishing vessel
MMSI: 220205000, Ship Type: Fishing vessel
MMSI: 220225000, Ship Type: Fishing vessel
MMSI: 220242000, Ship Type: Fishing vessel
MMSI: 220253000, Ship Type: Cargo ship
MMSI: 220256000, Ship Type: Fishing vessel
MMSI: 220257000, Ship Type: Fishing vessel
MMSI: 220272000, Ship Type: Tug
MMSI: 220278000, Ship Type: Fishing vessel
MMSI: 220283000, Ship Type: Fishing vessel
MMSI: 220295000, Ship Type: Fishing vessel
MMSI: 220304000, Ship Type: Fishing vessel
MMSI: 220307000, Ship Type: Fishing vessel
MMSI: 220323000, Ship Type: Fishing vessel
MMSI: 220329000, Ship Type: Fishing vessel
MMSI: 220333000, Ship Type: Fishing vessel
MMSI: 220334000, Ship Type: Fishing vessel
MMSI: 220336000, Ship Type: Fishing vessel
MMSI: 220339000, Ship Type: Fishing vessel
MMSI: 220341000, Ship Type: Fishing vessel
MMSI: 220343000, Ship Type: Fishing vessel
MMSI: 220345000, Ship Type: Fishing vessel
MMSI: 220349000, Ship Type: Fishing vessel
MMSI: 220352000, Ship Type: Fishing vessel
MMSI: 220368000, Ship Type: Fishing vessel
MMSI: 220383000, Ship Type: Fishing vessel
MMSI: 220431000, Ship Type: Military ops
MMSI: 220432000, Ship Type: Military ops
MMSI: 220435000, Ship Type: Military ops
MMSI: 220446000, Ship Type: SAR
MMSI: 220464000, Ship Type: Cargo ship
MMSI: 220466000, Ship Type: Tug
MMSI: 220476000, Ship Type: Tug
MMSI: 220507000, Ship Type: Fishing vessel
MMSI: 220544000, Ship Type: Fishing vessel
MMSI: 220600000, Ship Type: Cargo ship
MMSI: 220614000, Ship Type: Tanker
MMSI: 220622000, Ship Type: Fishing vessel
MMSI: 228467900, Ship Type: Cargo ship
MMSI: 228468600, Ship Type: Cargo ship
MMSI: 228468800, Ship Type: Cargo ship
MMSI: 229084000, Ship Type: Tanker
MMSI: 229399000, Ship Type: Ship type not found
MMSI: 229476000, Ship Type: Tanker
MMSI: 229673000, Ship Type: Tanker
MMSI: 229697000, Ship Type: Cargo ship
MMSI: 230039000, Ship Type: Cargo ship
MMSI: 230042000, Ship Type: Cargo ship
MMSI: 230091950, Ship Type: Cargo ship
MMSI: 230179120, Ship Type: Fishing vessel
MMSI: 230351000, Ship Type: Cargo ship
MMSI: 230357000, Ship Type: Cargo ship
MMSI: 230617000, Ship Type: Cargo ship (HAZ-A)
MMSI: 230631000, Ship Type: Cargo ship (HAZ-D)
MMSI: 230643000, Ship Type: Cargo ship (HAZ-B)
MMSI: 230688000, Ship Type: Tanker
MMSI: 230695000, Ship Type: Cargo ship
MMSI: 230696000, Ship Type: Cargo ship
MMSI: 230707000, Ship Type: Tanker
MMSI: 230709000, Ship Type: Cargo ship
MMSI: 230712000, Ship Type: Cargo ship
MMSI: 230719000, Ship Type: Cargo ship
MMSI: 230941700, Ship Type: Other type
MMSI: 230982000, Ship Type: Passenger ship
MMSI: 230987000, Ship Type: Passenger ship
MMSI: 230995000, Ship Type: Ship type not found
MMSI: 231025000, Ship Type: Cargo ship
MMSI: 231048000, Ship Type: Cargo ship
MMSI: 231123000, Ship Type: Cargo ship
MMSI: 231336000, Ship Type: Dredging or UW ops
MMSI: 231355000, Ship Type: Cargo ship (HAZ-B)
MMSI: 231613000, Ship Type: Cargo ship
MMSI: 231846000, Ship Type: Tug
MMSI: 231848000, Ship Type: Tug
MMSI: 231852000, Ship Type: Ship type not found
MMSI: 231859000, Ship Type: Tug
MMSI: 231860000, Ship Type: Cargo ship
MMSI: 231884000, Ship Type: Tanker
MMSI: 232003652, Ship Type: Pilot
MMSI: 232008636, Ship Type: Tug
MMSI: 232008874, Ship Type: Other type
MMSI: 232024313, Ship Type: HSC
MMSI: 232025009, Ship Type: Cargo ship
MMSI: 232025959, Ship Type: HSC
MMSI: 232031538, Ship Type: Cargo ship
MMSI: 232035207, Ship Type: Cargo ship
MMSI: 232046091, Ship Type: HSC
MMSI: 232046826, Ship Type: Cargo ship (HAZ-A)
MMSI: 232049178, Ship Type: Cargo ship
MMSI: 232053416, Ship Type: Cargo ship
MMSI: 235003400, Ship Type: Other type
MMSI: 235003431, Ship Type: Pilot
MMSI: 235007860, Ship Type: Fishing vessel
MMSI: 235009900, Ship Type: Military ops
MMSI: 235074473, Ship Type: Pleasure craft
MMSI: 235091458, Ship Type: HSC
MMSI: 235098061, Ship Type: Tanker
MMSI: 235102532, Ship Type: Ship type not found
MMSI: 235106475, Ship Type: Ship type not found
MMSI: 235108458, Ship Type: Other type
MMSI: 235108711, Ship Type: HSC
MMSI: 235112981, Ship Type: Tanker
MMSI: 235116828, Ship Type: Port tender
MMSI: 235500000, Ship Type: Cargo ship
MMSI: 236111791, Ship Type: Tanker
MMSI: 236111849, Ship Type: Tug
MMSI: 236385000, Ship Type: Tanker (HAZ-B)
MMSI: 238265000, Ship Type: Tanker (HAZ-B)
MMSI: 240168000, Ship Type: Tanker
MMSI: 241798000, Ship Type: Cargo ship
MMSI: 244017000, Ship Type: Cargo ship
MMSI: 244020613, Ship Type: Sailing vessel
MMSI: 244086000, Ship Type: Dredging or UW ops
MMSI: 244090800, Ship Type: Cargo ship
MMSI: 244110823, Ship Type: Cargo ship
MMSI: 244120000, Ship Type: Tug
MMSI: 244131000, Ship Type: Fishing vessel
MMSI: 244140000, Ship Type: Cargo ship
MMSI: 244140468, Ship Type: Cargo ship
MMSI: 244165000, Ship Type: Fishing vessel
MMSI: 244251000, Ship Type: Military ops
MMSI: 244267000, Ship Type: Tanker (HAZ-A)
MMSI: 244271000, Ship Type: Cargo ship
MMSI: 244321000, Ship Type: Cargo ship
MMSI: 244335000, Ship Type: Tanker
MMSI: 244338000, Ship Type: Unknown
MMSI: 244468000, Ship Type: Tug
MMSI: 244475000, Ship Type: Tug
MMSI: 244519000, Ship Type: Cargo ship
MMSI: 244533000, Ship Type: Tug
MMSI: 244554000, Ship Type: Cargo ship
MMSI: 244575000, Ship Type: Cargo ship
MMSI: 244597000, Ship Type: Cargo ship (HAZ-B)
MMSI: 244615184, Ship Type: Cargo ship
MMSI: 244632000, Ship Type: Cargo ship
MMSI: 244641000, Ship Type: Dredging or UW ops
MMSI: 244647000, Ship Type: Dredging or UW ops
MMSI: 244675000, Ship Type: Cargo ship
MMSI: 244678000, Ship Type: Tanker (HAZ-D)
MMSI: 244686000, Ship Type: Fishing vessel
MMSI: 244710825, Ship Type: Fishing vessel
MMSI: 244723000, Ship Type: Dredging or UW ops
MMSI: 244750595, Ship Type: Cargo ship
MMSI: 244750806, Ship Type: Other type
MMSI: 244768000, Ship Type: Cargo ship
MMSI: 244790715, Ship Type: Cargo ship
MMSI: 244830818, Ship Type: Cargo ship
MMSI: 244831000, Ship Type: Cargo ship
MMSI: 244834000, Ship Type: Port tender
MMSI: 244850116, Ship Type: Cargo ship
MMSI: 244860325, Ship Type: Unknown
MMSI: 244870189, Ship Type: Cargo ship
MMSI: 244870327, Ship Type: Dredging or UW ops
MMSI: 244870420, Ship Type: Cargo ship
MMSI: 244870428, Ship Type: Tanker
MMSI: 244890000, Ship Type: Tug
MMSI: 244890472, Ship Type: Cargo ship
MMSI: 244901000, Ship Type: Cargo ship
MMSI: 244915000, Ship Type: HSC
MMSI: 244997000, Ship Type: Cargo ship
MMSI: 245029000, Ship Type: Cargo ship
MMSI: 245043000, Ship Type: Dredging or UW ops
MMSI: 245176000, Ship Type: Cargo ship
MMSI: 245235000, Ship Type: Fishing vessel
MMSI: 245241000, Ship Type: Cargo ship
MMSI: 245250000, Ship Type: Cargo ship
MMSI: 245257000, Ship Type: Cargo ship
MMSI: 245258000, Ship Type: Cargo ship (HAZ-A)
MMSI: 245281000, Ship Type: Cargo ship
MMSI: 245286000, Ship Type: Tanker
MMSI: 245313000, Ship Type: Tanker
MMSI: 245341000, Ship Type: Fishing vessel
MMSI: 245404000, Ship Type: Tug
MMSI: 245489000, Ship Type: Tug
MMSI: 245618000, Ship Type: Dredging or UW ops
MMSI: 245693000, Ship Type: Tug
MMSI: 245808000, Ship Type: Other type
MMSI: 245809000, Ship Type: Other type
MMSI: 245871000, Ship Type: Cargo ship
MMSI: 245875000, Ship Type: Tug
MMSI: 245901000, Ship Type: Cargo ship
MMSI: 245909000, Ship Type: Cargo ship
MMSI: 245918000, Ship Type: Cargo ship
MMSI: 245939000, Ship Type: Military ops
MMSI: 246058000, Ship Type: Dredging or UW ops
MMSI: 246110000, Ship Type: Cargo ship
MMSI: 246135000, Ship Type: Fishing vessel
MMSI: 246179000, Ship Type: Cargo ship
MMSI: 246184000, Ship Type: Fishing vessel
MMSI: 246191000, Ship Type: Cargo ship (HAZ-A)
MMSI: 246265000, Ship Type: Cargo ship
MMSI: 246320000, Ship Type: Cargo ship
MMSI: 246338000, Ship Type: Fishing vessel
MMSI: 246371000, Ship Type: Cargo ship
MMSI: 246389000, Ship Type: Towing vessel
MMSI: 246443000, Ship Type: Cargo ship
MMSI: 246497000, Ship Type: Cargo ship
MMSI: 246512000, Ship Type: Cargo ship
MMSI: 246539000, Ship Type: Cargo ship
MMSI: 246575000, Ship Type: Dredging or UW ops
MMSI: 246606000, Ship Type: Cargo ship
MMSI: 246607000, Ship Type: Tug
MMSI: 246625000, Ship Type: Cargo ship
MMSI: 246669000, Ship Type: Cargo ship
MMSI: 246670000, Ship Type: Cargo ship
MMSI: 246702000, Ship Type: Tug
MMSI: 246724000, Ship Type: Cargo ship
MMSI: 246754000, Ship Type: Cargo ship
MMSI: 246774000, Ship Type: Tug
MMSI: 246818000, Ship Type: Other type
MMSI: 246819000, Ship Type: Unknown
MMSI: 246843000, Ship Type: Cargo ship
MMSI: 246855000, Ship Type: Cargo ship
MMSI: 246925000, Ship Type: Tug
MMSI: 246970000, Ship Type: Tanker
MMSI: 246993000, Ship Type: Cargo ship
MMSI: 246996000, Ship Type: Cargo ship
MMSI: 247018700, Ship Type: Cargo ship
MMSI: 247153600, Ship Type: Ship type not found
MMSI: 247386800, Ship Type: Cargo ship
MMSI: 247389200, Ship Type: Passenger ship
MMSI: 248020000, Ship Type: Tanker
MMSI: 248221000, Ship Type: Tanker (HAZ-B)
MMSI: 248483000, Ship Type: Tanker (HAZ-B)
MMSI: 248693000, Ship Type: Tanker
MMSI: 248789000, Ship Type: Cargo ship
MMSI: 248886000, Ship Type: Tanker (HAZ-B)
MMSI: 248891000, Ship Type: Tanker
MMSI: 248971000, Ship Type: Ship type not found
MMSI: 249127000, Ship Type: Dredging or UW ops
MMSI: 249393000, Ship Type: Ship type not found
MMSI: 249934000, Ship Type: Cargo ship
MMSI: 250005981, Ship Type: Cargo ship
MMSI: 253778000, Ship Type: Ship type not found
MMSI: 255724000, Ship Type: Cargo ship
MMSI: 255735000, Ship Type: Tanker (HAZ-A)
MMSI: 255769000, Ship Type: Cargo ship
MMSI: 255801580, Ship Type: Cargo ship
MMSI: 255802270, Ship Type: Ship type not found
MMSI: 255802540, Ship Type: Cargo ship
MMSI: 255802570, Ship Type: Cargo ship
MMSI: 255802840, Ship Type: Cargo ship
MMSI: 255802940, Ship Type: Tanker
MMSI: 255802950, Ship Type: Tanker
MMSI: 255803560, Ship Type: Tanker
MMSI: 255803870, Ship Type: Other type
MMSI: 255805589, Ship Type: Cargo ship
MMSI: 255805653, Ship Type: Cargo ship
MMSI: 255805672, Ship Type: Cargo ship
MMSI: 255805880, Ship Type: Other type
MMSI: 255805899, Ship Type: Cargo ship (HAZ-A)
MMSI: 255806024, Ship Type: Tanker
MMSI: 255806151, Ship Type: Tanker (HAZ-B)
MMSI: 255806190, Ship Type: Cargo ship (HAZ-A)
MMSI: 255806196, Ship Type: Tanker
MMSI: 255806258, Ship Type: Cargo ship
MMSI: 255806303, Ship Type: Tanker
MMSI: 255806310, Ship Type: Cargo ship
MMSI: 255806328, Ship Type: Cargo ship
MMSI: 255806364, Ship Type: Cargo ship
MMSI: 255806370, Ship Type: Cargo ship (HAZ-B)
MMSI: 255806440, Ship Type: Ship type not found
MMSI: 255806471, Ship Type: Cargo ship
MMSI: 255806476, Ship Type: Cargo ship
MMSI: 255808000, Ship Type: Cargo ship
MMSI: 255814000, Ship Type: Cargo ship (HAZ-A)
MMSI: 255815000, Ship Type: Cargo ship (HAZ-D)
MMSI: 255915569, Ship Type: Cargo ship
MMSI: 255915582, Ship Type: Cargo ship
MMSI: 255915583, Ship Type: Cargo ship
MMSI: 255915584, Ship Type: Cargo ship
MMSI: 255915598, Ship Type: Cargo ship
MMSI: 255915649, Ship Type: Tanker
MMSI: 255915668, Ship Type: Cargo ship
MMSI: 255915675, Ship Type: Ship type not found
MMSI: 255915683, Ship Type: Cargo ship
MMSI: 255915748, Ship Type: Cargo ship
MMSI: 255915769, Ship Type: Tug
MMSI: 255915940, Ship Type: Towing vessel
MMSI: 255915951, Ship Type: Cargo ship
MMSI: 256336000, Ship Type: Cargo ship
MMSI: 256591000, Ship Type: Cargo ship
MMSI: 256617000, Ship Type: Cargo ship
MMSI: 256683000, Ship Type: Cargo ship
MMSI: 256717000, Ship Type: Tanker
MMSI: 256956000, Ship Type: Cargo ship
MMSI: 256959000, Ship Type: Tanker
MMSI: 257058100, Ship Type: Pleasure craft
MMSI: 257064430, Ship Type: Cargo ship
MMSI: 257071710, Ship Type: Cargo ship
MMSI: 257076220, Ship Type: Cargo ship
MMSI: 257076850, Ship Type: Cargo ship
MMSI: 257180000, Ship Type: Unknown
MMSI: 257182000, Ship Type: Passenger ship (HAZ-A)
MMSI: 257203000, Ship Type: Cargo ship
MMSI: 257206000, Ship Type: Tanker
MMSI: 257207000, Ship Type: Cargo ship
MMSI: 257221000, Ship Type: Cargo ship
MMSI: 257306000, Ship Type: Cargo ship
MMSI: 257314000, Ship Type: Cargo ship
MMSI: 257339000, Ship Type: Cargo ship
MMSI: 257341000, Ship Type: Other type
MMSI: 257358000, Ship Type: Tanker
MMSI: 257374000, Ship Type: Tanker (HAZ-C)
MMSI: 257461000, Ship Type: Tug
MMSI: 257475000, Ship Type: Cargo ship
MMSI: 257643000, Ship Type: Tanker
MMSI: 257736000, Ship Type: Military ops
MMSI: 257737000, Ship Type: Cargo ship
MMSI: 257759000, Ship Type: Other type
MMSI: 257769000, Ship Type: Other type
MMSI: 257840000, Ship Type: Tanker
MMSI: 257859000, Ship Type: Cargo ship
MMSI: 257861000, Ship Type: Ship type not found
MMSI: 257896000, Ship Type: Unknown
MMSI: 257898500, Ship Type: Fishing vessel
MMSI: 257964000, Ship Type: Cargo ship
MMSI: 257970000, Ship Type: Tanker
MMSI: 258006930, Ship Type: Cargo ship
MMSI: 258009780, Ship Type: Cargo ship
MMSI: 258035000, Ship Type: Ship type not found
MMSI: 258059000, Ship Type: Cargo ship
MMSI: 258092000, Ship Type: Passenger ship
MMSI: 258152000, Ship Type: Tanker
MMSI: 258159000, Ship Type: Cargo ship
MMSI: 258313000, Ship Type: Tug
MMSI: 258349500, Ship Type: Unknown
MMSI: 258430000, Ship Type: Tanker
MMSI: 258498000, Ship Type: Fishing vessel
MMSI: 258542000, Ship Type: Fishing vessel
MMSI: 258648000, Ship Type: Cargo ship
